	Too vague.  Begs the issue of when an agent has goals, e.g. does a thermostat really have a goal.	Too long, not really a definition.	Too long, not really a definition	Goals	Not sure how to decide if something has foresight, or if that should be a defining characteristic.	Both vague and narrow	Might as well say "ability to do a lot of stuff"	
Some avenues of Neuroscience also study  "the computations that make it possible to perceive, reason, and act."	This is an important and critical aspect of intelligence as noted by evolutionary theory, cognitive neuroscience, etc.	I only disagree with this portion, "working with insufficient knowledge and resources." It's not clear that humans have "insufficient knowledge" for many or any tasks. Rather, humans use knowledge in a variety of different ways and different types of knowledge. 	This definition works for some types of AI systems. Ones that will work closely with humans on human robot interaction or related tasks. But it ignores a computer's ability to perform at greater than human ability on many tasks.	Limiting and too narrowly focuses on a probabilistic framework. 	Not a precise definition, but a reasonably functional one.	Humans don't act this way.	Common sense is not well defined here.	
This is what humans do for solving problems.	Changing environments is a crucial sign of intelligence	Adapting is not a sign of intelligence. Most beings are adapted but they are not intelligent.	Generating optimal behavior is highly relevant for intelligence.		Mental simulation is crucial for understanding intelligent behavior.	Decision-making is one key component of intelligence.		
This statement contains true facts about AI; it is not a complete definition but could be part of one.	This statement contains true facts about AI; it is not a complete definition but  could be part of one.	Adaptation etc. could be part of the definition, but this statement is too extreme and limiting in its whole.	This set of sentences is a grab bag of possible desiderata and a goal that is too constraining.  It's not a definition.	These statements are specific to someone's individual theory and thus too constraining.	A limp statement.  AI is not "an activity" it's a research field (of investigations) that has generated a set of methods that are now being incorporated (engineering facet of AI) into systems, etc.	True but incomplete statement.	Can have AI in limited areas, don't need "general intelligence"	true but partial
Too long to write. Contact me if you really interested. Thank you.	See above.	See above.	Subtle question involving "optimal behavior"... anyway, I'll be pleased to deepen this stuff if you really interest, as above (sorry, if you are not really interested I do not want to waste my time. otherwise, if you are, I am too).	Not a crucial point at present in my opinion.	I see a logical loop here on who defined since the beginning the meaning of "appropriately"...	This is really a deep point to deepen. I do not agree on this statement (but it is not at all absurd...).	Not at all at present, I believe they will in a (possibly near) future. By the way, humans (on average) are stupid... my hopes are more in silico rather can carbonium:)	Humans are not the center of the world. 
I like how succinct it is but it is far from testable. 	I like this as well and fits with my view. Also untestable.  		Really not a fan of restricting intelligence to the set of abilities held by humans. 	Not sure I understand this one. 	Again, too subjective. 	Best possible action is not intelligence. Maybe rational or rationalizable actions?	I just don't feel an AI will require the full suite of skills that we possess, even if each were reduced in ability, is required to be intelligent. 	This would certainly be an example of an AI. 
								
Although this is a facet of AI, it is not a defininative one. 	It is very possible to have this capability without AI.	Intelligence, in my view, has no link to finite capacity or processing time.	There is no meaning or purpose in defining AI and natural intelligence. They are exclusive of each other, and while similarities and parallels may be drawn, should be judged by entirely different criteria.		Foresight is not a defining factor of intelligence in my view.	this is simple capability, not intelligence 	It would be impressive indeed, but not really a suitable indicator.	Although simplistic, this is quite a good basic definition.
the term "computations" is too narrow, or at least it should be defined						Adaptive behavior doesn’t need to be rational		like question 7, optimal solutions don't need to be rational
computation-centric		fine except for last 2 words	optimal' as a term here is loaded		empty definition	ill-defined terms 'rational' and 'best'		
Must mention learning	Goals are formulated by humans		Anthropomorphism is silly. How about divine intelligence?	Goals are formulated by humans	What is "appropriately"?		Anthropomorphism is silly. 	
Defining in terms of abilities is the right general approach, but the list of abilities is not long enough. Now-a-days, we'd certainly include learning, for instance. What about emotions too?	Too narrow. What about more passive forms of intelligence, e.g., giving advice? Is that a form of goal achievement?	Far too narrow. It's necessary, but not sufficient. What about problem solving with full information done offline: mathematics, puzzles, board games, etc.?	Too narrow. We don't want AI systems to be limited to human-like achievements or to have to emulate them all either. 	Too narrow and badly expressed to the point of incoherence. Same criticisms as for #3.	Not bad. Very vague, of course, but perhaps that's a feature given my criticism of other definitions as being too narrow. This avoids being too narrow by being close to vacuous. 	Too narrow. Why tie to action, unless we define action so broadly as to be vacuous?	Why limit AI to matching humans? Lacking in ambition. 	Why only service to humans? Too narrow. 
								
meaningless	meaningless	meaningless	not constructive	not constructive	meaningless	meaningless	lots of fluff	
This seems more like the definition of cognitive science.	It applies to all sentient life forms equally. 			too esoteric, doesn't make any sense.	appropriate is too vague, and foresight is an advanced skill. 	the real world isn't ideal.  rational action is too vague.	common sense is a fallacy. 	no slavery please.
It is a relatively good approximation.	A good approximation as well. Slightly worse than (1).  Computation is an important part of intelligence.	I think this explains only partially what intelligence is.	A good point, but i don't see a clear definition from this.	There are intricate details that influence the process described. I think this definition leaves a lot out of the picture.	This definition seems less useful in practice than other good definitions. It says too little.	Similar to 6, questions arise about what the 'best possible action' is. In very complex environments, no one can really know what the best action is.	This seems to catch the 'essence' of intelligence more accurately than the rest. The ability to learn , reason and adapt is central to intelligence. The ability to meet complex information-processing challenges is also central to intelligence. Viewing intelligence as complex information processing is very accurate and useful.	I don't think machine intelligence should be defined as directly related to the human species. More scientific and less anthropocentric thinking has always proven to be the effective road in science and technology.
The cognitive component of intelligence is not confined to reasoning. Ultimately intelligence is a property of the physics of intelligent systems. 	Intelligence is not only about achieving goals. Most intelligent systems, including humans, often don't have explicit goals at all. 	This is still not quite right. Intelligence should not be equated with rationality. 	Not just in humans but in all animals with nervous systems. 	This is an external view of intelligence which is fine for studying it. I doubt if it will help implement AI. 		Read the behavioral economics literature!		Intelligence is not optimization or rationality. It is the physics of the brain-body system. 
AI is not just a field of study	Does not mention learning/ adaptability 	Good, but does not mention accumulation/ reuse of knowledge and skills		Good, but a bit too abstract?	AI is not an activity	Ration action is too vague. Not the best possible...	Missing real-time, interactive, limited resources (perhaps implied)	AI needs to be able to act autonomously. Also too vague.
						The best possible may be a show of emotion (faked)..		AI can promote cultural positions that are not rational. 
too imprecise as a definition (what exactly is "reasoning"?) Also, it proposes a kind of architecture (sense-plan-act) that I do not find useful				I don't really understand it (it leaves too many parameters open to count as a definition)	rather unprecise, but captures some part of AI	this relies on the definition of "rationality" and "best action", which is inapplicably in most real-life situations		same as no. 7 + "unbiased" is impossible, even for machines (e.g. data-driven methods rely on biased data, programs are biased by the programmers)
Reason + Experience x Time = Wisdom. So perception and acting on an experience with reason over time [towards some goal] possibly makes it Artificial Intelligence.	"Achieve" would need a broadest reasonable interpretation.							
Does not imply building anything, nor that it has to be very intelligent. Merely perceiving, reasoning and acting after some fashion. 	Succinct, nontrivial.	Essentially a wordy variant of definition 2. 	Too human-centric. A project aimed at achieving what dogs can do would not be AI by this definition, yet aim at largely the same goals. 	Makes the prior assumption clear,  but "real" AI will presumably be able to update it based on experience. Efficiency is a relevant factor: most definitions leave it out, yet something like Hutter's AIXI(tl) would clearly be highly intelligent while being hopelessly inefficient. 	Assumes a given environment. 	A classic view.	Rather loose and human-centric. 	Leaves too much open - rational and unbiased might be badly defined or not what achieves optimal outcomes (and what constitutes optimal is also messy).
								
								
The definition does not address the foundations.	Intelligence should provide a scale from simpler feedback devices like thermostats to more complex organisms.	The definition is not clear enough.	This definition considers only descriptive aspects but not normative ones such as being useful.	Not an awful definition but still does not provide a scale.	Decision making seems more important than just prediction.	"Best" is defined situationally by goals and resources.	Machines do not need to match humans to be considered intelligent.  Humans are only an example of intelligence.	This definition comes with bias since it does not lay out the context for decision making.
Those are just computations. Any definition of artificial intelligence should include system self-awareness.	Necessary but not sufficient. And "wide range of environments" is too vague.	This is actual event / state programming.	We don't quite understand the range of cognitive capabilities of humans, we cannot use it for a definition.	As this is a new concept, "pragmatic general intelligence", the authors can define it as their own likeness, same as we can set an axis anywhere in space.	The foresight part is interesting. But still it is too vague and incomplete.	Efficient functioning, not intelligence. That action of the intelligent agent may be embedded in its structure (for instance an efficient mechanical design) and that does not make it an intelligent agent.	Same problem as before, incomplete definition of human intelligence.	No need to call this behavior intelligence.
								
ambiguous - perceive, reason and act require definition	Good attempt - but would more closely target the reasoning component (excluding perceptual and "actability" differences) e.g. "to successfully plan goal achievement" rather than "to achieve goals"	A traditional answer, expanded upon  Deals with early pragmatic human issues but less and less relevant over time, as intelligence starts bending the environment rather than adapting to it.	A long precursor to a succinct definition that never comes.	Close but a little opaque.	is 'function' another word for 'act'.  If so then this requires embodiment which doesn't quite cross over into the artificial.	Nice, but too strong (e.g. "best possible action" - in some search spaces that could take almost as long as forever).  lose embodiment (e.g. replace "agent takes" with "agent determines"	Initially thought it was average but it grows on you.  Just about covers it all without falling into anthropomorphic issues.	Off track - intelligence is strongly linked to human.  i.e. if the agent can help a human then, as a human is intelligent, it follows that the agent must be as well .... not
Intelligence, inter alia, is the study of computations...  	It requires intelligence to formulate measurements.	Who, or what is to decide what qualifies as "sufficient", "finite", "unexpected"? How is this quantified within a relative rationality?  	Without achieving significant economies of scale, this objective seems fruitless. 		Judging by how human beings generally cope with life and disasters and abuse substances, should we conclude they have no intelligence? 	Again, if an entity took the worst possible action, is it without intelligence? Who or what decides what is "best" or "possible"?		 Your definition could equally apply to military applications as well. All is relative. Should we moralize machine intelligence?
There is more than these 3 pieces.	This ignores the important aspect of intelligence as to the picking of goals.	"Adapting" is a misnomer and leads to misunderstanding. 	This "scope" of AI goal isn't telling us much about the element of intelligence. 	If the intelligence "gets" goal and environment space, it is already intelligent...	I agree in part, but don't agree with the "Artificial intelligence is... " part. 	Like the KISS principle here - the work is in implementation, not definition. 	what is common sense?  what is reason? plan? complex information...? 	This wishful thinking has little or nothing to do with defining intelligence. 
								
								
	This is a component of intelligence, but in my opinion not the most important one.							
AI is a human-made tool, and as such humans' extended phenotype' (Haraway, 1995) to understand and solve human-made problems and issues	...the definition lacks the issue of the costs associated with achieving such goals, and the coevolutionary dynamics of the agent and its environment...	...the definition (it does not say 'artificial') misses the fact that 'agents-individuals-solutions' do not adapt, but coevolve with their environments, and it restricts itself with the term: 'processing', which it is associated to the concept of 'computation'...biology does not 'compute' in the 'traditional' Turing-machine way...also, biological (vs ''artificial') intelligence is not 'rational' in the classical sense...unless you consider coevolutionary dynamics and the need for populations (in the so-called nature's inspired computation swarm intelligence inspired e.g. on ants...) of 'solutions-agents-individuals' exploring phase spaces and multi-objective moving targets and dynamic criteria of optimization (e.g. temporal Pareto-optimality...)...	AI is at best when it is designed to complement, nor substitute (vs. "...exhibit the full range of (human) cognitive capabilities...") , human-intelligence, considering that AI is different from biological intelligence...and as human-extended phenotype, it does need to generate optimality (multi-objective, dynamic, Pareto-optimality...)		AI is the outcome of human-work aiming at develop tools to solve human-made problems and issues...in which foresight is incomplete and optimality is dynamic and multi-objective...	A definition like this must include the definition of 'rational' and 'optimal'... 	in relation to AI, the later should enhance human capabilities for solving complex problems...the above definition must exclude the concept of 'common sense' (is it scientific? is it 'rational'? is there a consensual definition of it?) and stop trying to separate 'natural' from 'abstract' (is abstract different from natural? Is there something (anything) outside nature?)...	even when designing an algorithm to serve as a platform to AI, there is a bias that is sometimes declared explicitly, defining it as 'weight' in the optimization problem to be solved, or implicitly in the design of the algorithm...
There's nothing explicit about language and the central role it plays in social and cultural constructs that enable intelligence.	Too narrow -- a lot of intelligence isn't specifically related to "goals".	Very mechanistic.	Better -- emphasizes a range of cognitive capabilities rather than intelligence as a monolithic thing.  Includes social environments as an important component.	Too focused on achieving goals.  It basically pushes down the definition of intelligence to what counts as a goal.	This would apply to lots of entities that we don't think of as "intelligent".  My cat functions appropriately in his environment and satisfies his primary goals, and even has foresight to a limited extent, but I can assure you he isn't intelligent.	Lots of people disagree with equating intelligence with an assumption of rationality and optimal action.	I like the use of "challenges" rather than "goals".  Still too narrow -- it's not just common sense.	Completely off the mark.
AI attempts to provide algorithms that model on cognitive processes	I prefer a definition that measures the duration/ automaticity of cognitive processes	Yes, I prefer to see cognitive mechanism as a processing that adapt to, and manage a finite set of environmental factors.	To design effective intervention strategies, the measurement of optimal behavior of a certain ability group would be essential.	Would there be any hidden/non-deterministic resources in humans’ general intelligence that are non-external and non-observable?	the ability to predict is an important part of human intelligence	How about emotional quotient?	I suppose there are already invention of machines that can generate speeches by combining new words, new experiences and new concepts.	How about the input itself is bias?
								
		Too Wordy 		Not layperson friendly				
Does not distinguish animal/human intelligence	It is one possible definition, does not include learning.						Unachievable	
It is also the development and creation of those computations.								
								
Encompasses the 3 possible ways to interact with the environment 				Too complicated definition		What is meant by "best"		What is meant by "optimal" - may differs from one person or situation to the other
								
AI is an interdisciplinary science whose goal is to reproduce behavior that is considered intelligent, it not only the study of computations (how to reproduce it), but also the study of intelligence in humans  and animals (what to reproduce)	"Intelligence is the ability to achieve goals...", not just a measure.		 "...full range of the cognitive capabilities we find in humans and animals." Animal intelligence is in some aspects different than human intelligence (not merely a subset of). Take the dog's social intelligence.			Intelligence and rationality are not the same. A greedy algorithm (suppose that this algorithm is "implemented in wetware") is rational, but we do not find greedy people to be intelligent in general, often quite the opposite, we view them as shortsighted. 	"Human and animal" instead of "human"	"guidance and service" have nothing to do with intelligence
Too ambitious		Disagree with essence of intelligence is ... Premise	Goal is some cognitive ability. Might exceed humans in specific tasks.			The best action, considering constraints		
								
Action is essential	One can reach goals without _understanding_	One can adapt with _understanding_	I see no added value in copying humans in this way			Optimality is one useful way to create _understanding_, in that the system will be able to explain _why_ it makes decisions		
Perceiving, reasoning and acting is already achieved by some very simple agents ... but a good start.	Too vague	practical answer	Reference to human intelligence limiting	How to define the goals? Humans are not necessarily goal based or the goals change over time. No accounting for changing goals	An agent can function perfectly well without (much) intelligence, e.g. a thermophilic bacterium in a geyser.	Good and practical.	Why "matching" and not "exceeding"? comparison to human intelligence is limiting.	This infers a use case (i.e. as an advisor to a human)
								
As humans we do it naturally, machine needed to be hard coded at first.	it should be environment measuring the intelligence of agent.					Reinforcement learning will explain it better	When I was working in salient based object detection it was kind of pain to teach machine.	Explore and Exploit mechanism serves here better
	This is just adaptability. Behavioral programming allows doing this, but it's not intelligence.		I said earlier that I differentiate between human and machine intelligence. Machine intelligence could be limited to some capabilities.		This could be achieved by any well-written program!	Intelligent people can make very stupid mistakes, yet they are still intelligent... 		This definition is too broad... my smartphone does more or less the same
This definition is sufficiently general to be true; the burden now lies on the definition of "perceive, reason, and act" on which people in the community would probably disagree...	The definition lacks the concept of "novelty". According to it, a giant look-up table containing the exact solution to a huge number of situations would be considered very intelligent. Yet I think people wouldn't consider such a reflex system intelligent indeed. What is more considered "intelligent" is to come up with a solution in a situation never encountered before (and so not in the look-up table)		I agree that solutions found by the system don't need to be optimal. On the other hand, I disagree that the concept of "intelligence" must necessarily relate to human intelligence. It would already be a big step to develop intelligent systems analogous to simple animals.	The definition lacks the concept of "novelty". According to it, a giant look-up table containing the exact solution to a huge number of situations would be considered very intelligent. Yet I think people wouldn't consider such a reflex system intelligent indeed. What is more considered "intelligent" is to come up with a solution in a situation never encountered before (and so not in the look-up table)	This definition is too vague, and one would need to define what "function appropriately and with foresight" means	Intelligence as we see it in animals (humans included) is largely not rational and rarely produces optimal solutions.	I like the mention of "common sense" and "learn" which are important for intelligence imo.	I understand that this kind of definition is shared by a part of the community but I strongly disagree with it. This sounds like machine intelligence should be different than human intelligence in nature. It has an engineering perspective which is great today to develop useful applications, but doesn't produce much insight about what are the mechanisms behind intelligence as we see it in nature.
								
	Intelligence can be defined for different domains. Some narrow, other more general		That is one goal		Statement hard to interpret		Somewhat hard to compare since the system would have other needs than humans, and would be motivated to learn other things.	
								
			I understand this definition as a definition of AI as a scientific field ("The goal [of AI] is to build..."). As this definition mentions "physical [...] environments", it would be a good definition of AI if AI were to include robotics as a sub-field. It currently does not, although I think it should (as I cannot define intelligence without a body, having no example of it in nature). 					I do not see the relevance of "guid[ing] and servic[ing] humans" in a definition of intelligence.
rather vague and basic	although not wrong, this definition is not precise enough (could relate to more than just to intelligence)	not comprehensive	rather mimicking only parts of the human behavior than creating artificial intelligence	limited to pragmatic intelligence	vague	this relates more to optimization than to intelligence	no execution	unbiased and guidance/service to humans do not fit in my opinion
								
								
			We need machines that help us, not machines that match us.					
								
Doesn't mention learning	Doesn't mention learning`	Emphasizes flexibility and learning.	A bit too human centered. 	Too utilitarian.	Decently vague	"Best possible" is too high a bar, even for people.	I think "information processing" is too limiting. Intelligence is not just about that.	The definition of intelligence in people does not require them to be helpful. Not sure why computers would be different.
perception' and 'reason' are black-boxed concepts themselves. Either we use an assumed [arbitrary] human baseline to measure those concepts, or we focus on more general measures of performance and capability.						Falls afoul to debates over rationality and 'the best possible', but sure.	Human-level is a fairly arbitrary benchmark.	It may be a relevant definition within a social sciences context, but not within a sciences context.
	The term 'goals' is not specific enough, and leaves the statement vague.	I think real-time does not have to be a criterion.	I don't think human cognitive capabilities should be the aim.				humans might be a good comparison, but will for sure not be the upper limit of intelligence.	service to humans should not be the AI's main goal as definition.
This encapsulates well what I think of as 'intelligence' generally.	achieve goals' is too vague and can refer to a thermostat.	The 'real time' restriction seems arbitrary. One could easily imagine an intelligence working on solving less urgent but still important problems in the background, slowed down.	it definitely doesn't need to include optimal behavior any more than an 'engine' needs to run on the Carnot cycle.	Thank you, Bayesian Conspiracy.	This includes thermostats again.	Ideally, yes. But this leaves out deciding on what the 'best' action is.	As you can guess, I think there's a valuable distinction between 'machine learning' and 'artificial intelligence'.	I refuse to accept any definition of AI that I would find insulting if it were applied to me.
Tries to define one concept using concepts.	Intelligence is the goal; intelligence is not the measure.				#4 above "... but it does not need to generate optimal behavior."	#4 above "... but it does not need to generate optimal behavior."	#4 above "... but it does not need to generate optimal behavior."	
			Confining "intelligence" to human intelligence is far too restrictive. My intuitive notion of intelligence includes other biological systems.			This assumes a (non-existent) consensus on what constitutes "rational" and "best possible" action.		
								
								
								
