"think rationally" is both narrow and perhaps circular.	Too narrow, and anticipation of consequences is problematic to define precisely and judge.	I don't know if the set of things is the right set, but the idea that it's whatever you have is appealing.	Having it be behavior is fine.  Adaptivity -- too narrow.					
How is this specific to humans? 	Too narrow	This definition does not include computational processes. Can't be intelligent without computation.	What quality?	Too narrow. Intelligence goes beyond knowledge organization.	Too narrow. Intelligence goes beyond search and problem solving.	It has the key ideas, but this is not a definition.	Too vague.	Humans don't meet this criteria. Not even if you include bounded rationality.
								
Although I agree, this definition is too vague and all-encompassing.	Anticipation is one of the keys. It is a necessary condition, but not a sufficient condition.	Agree, but this is just as useless a definition as "bag of skills" since what skills mean is rather unclear.	This is how evolution shaped intelligence.	Who's governing? 	What do you mean by "see" in "see relationships"? 	It's better than the counterexample provided but it still ignores grounding.	Again "figure things out" can be anything. 	Optimization tends to make the behavior rigid. Human behavior is never so rigid.
								
								
								
		vague	non-specific	to broad/non-specific	I like it: Potentially wrong, but clear, specific, and mechanism-based	no a bad list for identifying the behavior, but quotes betray lack of mechanism	repeats what questionnaires request, so necessarily superficial	 too wide ranging
The definition is not rich and complex enough	This definition is thin and weak.	This definition contain the word it is defining.	This definition focuses on only one feature--adaptive. It is not a rich and convincing definition.	This is only part of the definition.. We can point to humans who do not self-govern very well, say idiot-savants. They may have many oath features of intelligence, yet not manage to be organized, coherent and responsive.	This is a single focus of intelligence does not include the nuanced features.	This is a strong definition. It is complex and multi-faceted as is intelligence.	Strong, yet the definition if not multi-faceted 	Strong, yet not rich or complex enough
								
What does rational thinking mean? This is ill-defined, and no longer a useful term. See comments on previous page.	Women are individuals too -- please fix the gendered language.	There is more to intelligence than problem solving skills. Creativity, kinesthetic, music. See Howard Gardner's work on multiple intelligences.	This is better. However, there are very intelligent people who are unable to meet the demands of a changing environment. For example, imagine a person with ALS. Their mind is 100%, but their body is not responsive to signals from the brain. 		This is probably the best definition so far. Intelligence definitely involves synthesis of information to solve problems.	Much better!	This is better, however, this ignores the definitions of explicit  and tacit memory. People with amnesia can figure out how to untangle a knot on-the-spot, but may not be able to explicitly describe those steps. However, by this definition they are not intelligent during the entire time they have amnesia. The above example is a good litmus test for your research, I think.	Intelligent beings are not always goal driven. Sometimes they do things just to do them, without any particular goal in mind.
	Doesn't cover all of what intelligence is.	Individualized definition.		Decent, includes self-reflection and meta-cognition.	Covers social intelligence.	Good.		
								
								
I think that "intelligence" is a (potential) property of humans but I am not sure at all we agree on its meaning. To me "standard humans" are not intelligent.	I agree that this is solely one manifestation of "acting in an intelligent way"	Too long to write here. Again if interested contact me. Thank you.	See above.	I do not "strongly agree" because, as long as it is not specified "how the environment changes" ( how Darwinian are the "needs") I have not all the ingredients.	Luckily this is just the "Italian intelligence" (I am Italian, I can take the joke :)	"quickly" is not defined properly -and it is not at all a minor problem because behaving properly is also a problem of matching evolving timescales.	I would not agree with a guys who writes "clearly" in such a statement.	This is just the illusion of being intelligent (that is what the bulk of humans just share).
I have trouble parsing this. I did not read the source. 		I like this. I particularly like the emphasis on generalization. 	I do RL and this certainly fits with my goals. 	We are so far away from this it is impossible to think of this as testable but I do really like this definition. 	This fits with many definitions of intelligence I've seen in other fields such as Einstein's supposed marveling over our ability to select germane information from a veritable sea of information and to then act on it. 	Don't agree that grasping complex concepts is required. 	Yes, it is. This also feels testable. 	Also really like this. More abstract but it feels spot-on. 
								
Intelligent choices can be beyond the rational. Also intelligence rarely uses global capacity of an individual.	Not really intelligence. 	Intelligence is more to do with the way of processing rather than the information to hand or knowledge base.	Again, not a factor in intelligence. 		A facet, yes.	Best definition so far.	Intelligence is not time sensitive.	No, this is logic. Intelligence recognizes that the  "fulfillment goal" maybe shifting, and that fulfillment goal of the individual may not be paramount.
I dismiss the very definition of "intelligence"  (see the answer to question 10 about machine intelligence)	see above	see above	see above	see above	see above	see above	see above	see above
								
				Self-restraint or self-government are very important notions.	"Relationships" is too vague. Must be: surprising or unexpected or new relations.			
Good attempt at what we might all 'rational' intelligence, but there are many kinds, e.g., emotional, social, physical, which this won't encompass. 	Too narrowly focused on planning and action. 	Too focused on intellectual skills, etc. Similar problems to #1.	A property of intelligence, not a definition. 	Much like #1 and #3	Hopelessly too narrow. 	Fairly comprehensive list. 	Too narrow. Not all reasoning is so case based.	Too narrowly focused on rationality and action. 
								
								
too convoluted	There are too many possibilities to bother anticipating them. Also intelligence can be active not just reactive.	C++ may have many libraries, but is not in and of itself intelligent.  Libraries are only useful if there is an intelligent agent using them. 		having a process scheduler is not sufficient for intelligence. 	rather ambiguous though, regarding what is a relationship.	too convoluted		too convoluted and optimal is unnecessary, only good enough is needed. 
I								
Intelligence is no more "purposeful" than evolution. The purposiveness lies in the eye of the beholder and is an emergent effect. 	Very few things, if any, done by intelligent systems actually follow this paradigm. 	Acquired skills are an important part but so are the innate ones shaped by evolution and development. 		There is no homunculus!	Too limited. Too algorithmic. 	This is an observer's definition of intelligence, not a deep description of intelligence. 		
								
							Memory based reasoning is important. 	
too imprecise as a definition	it is true, but covers only part of intelligence							After this definition, no human on earth would count as intelligent
				because self-governance would recognize by definition the self/identity  (e.g., I think therefore I am.)		Binary responsive phrases don’t seem adequate as summations of the description here.		
Gets the parts-whole aspect into the open. 	Short and sweet, but leaves out a lot of selection of actions and goals. The amygdala-damaged patients in Damasio's "Descartes' Error" are intelligent by this definition, yet fail at acting intelligently. 	Wordy and too general, dependent on what is considered intellectual. 	Near Shane Legg's definition. Leaves out the self-driven aspect of human action: we do not just respond to demands but make demands. 	Gets the important internal governance aspect right. 	Merely a part of intelligence. 		Does not explain what figuring things out is. 	
								
					Solving problems requires natural intelligence. So, this is a circular definition.	Reasoning, comprehension and solving problems require natural intelligence. So, this is a circular definition.		
This definition relies on other definitions that do not have clarity.	This seems too narrow.	This gives more of an approach than a definition.	This definition seems to come from a particular set of goals.  It ignore inner state.	This appear to assume a right and wrong that might only be appropriate for some situations.	This definition is far too limited in scope.	This definition may be partially applicable to adults only.	The speed of answering and memory do not cover the range of intelligence.	This seems to only approach abstract thinking.
	Once you anticipate, you have to evaluate and decide. Incomplete.			This is kind of in the right direction but completely vague.		Too vague again. Definition by example, not good.		
		I'm not sure it is just about acquired things.	The focus is too restrictive			Maybe it relies too much on an enumeration		
goal creation is implicitly linked to the environment - I am not sure if this linkage is needed.	partial answer but a good stab.  Brings in many other aspects by going down the modelling route	a bit of a grab bag of capabilities	environmental adaption rules again. IMHO this limits things	Partial - and may not be the most important part	another partial but two good parts	Descriptive	Clearly   -  but it is more than that	misses goal creation
				I would give this a 3.5. Self-governance is not an act of intelligence, but a combinational outcome of individual competency.		Again, I would score this 3.5. Yes, intelligence is all that, but human intelligence has potential for advanced tacit knowledge beyond traceable logic.	Again, in context of humans, Id score hits a 3.5 only. 	Scoring 3.5
	"anticipating" is a can of worms here.  Does that mean consciously? Intuition? 	Don't see the need to consider intellectual as = problem solving 	Doesn't tell much about the "intelligence" in the behavior.	Mostly agree, but seems to imply that intelligence stands apart somehow. 	That may come from intelligence but isn't what intelligence is. 	Wouldn't call it a "mental capability."  It's a property of a system. 	Recognizing signs of intelligence isn't defining what intelligence is. 	Optimization is a good component of intelligence because it betters outcomes. 
								
								
								
the definition misses the variable 'time', the concept of coevolution, the fact that human intelligence is also related to 'populations' of individuals, and the definition of 'rational' and 'effective'...	the individual can wrongly assess the possible consequences of his actions, or simply do not care about them...and the definition misses the 'here and now' consequences of the individual actions as a weight in his 'intelligent' decisions...	missing the 'nature' side of the 'nurture' described above (genetics contributes as well), and the coevolutionary nature of such traits in the context of their dynamic environment (e.g. coevolutionary outcomes)...	more than adaptive is coevolutive...and again, the definition does not define 'effective'...					¿What about 'bounded rationality'? While I agree with optimization, the above lacks a definition of 'optimal'...which I suggest should be multi-objective, dynamic, nonlinear and semi-structured...
Focuses too much on rationality.  Misses other aspects of intelligence (social, emotional) that aren't captured by "rationality".	way too simplistic.	Too narrow.  Not simply "intellectual".	Too narrow -- intelligence does not equal adaptability.	Too narrow.	Too narrow.	Closer, but doesn't adequately capture social and emotional intelligences, and the role of language/communication.	Too narrow.	Not simply rationality and optimal action.
I am more interested in the domain capacity of human intelligence for the sake of management and intervention.	the ability to generalize experience, create solutions for new problems and plan for action are important variables of intelligence.	in the end, measurement of intelligence account for the data of a specific time point though intelligence might not undergo significant change across the developmental life span (even though knowledge might pile up).	I support a stage-wised developmental framework of intelligence.	An important part of intelligence is an ability to plan and organize for actions.	An ability to draw relationship between letters, words or sentences in the most important constituent part of learning.	I would differentiate between knowledge gained in school and experience gained  in life events.	yes, retention is an important part for new learning.	One's goals and beliefs are largely a result of what they experienced or learnt. It guides the process of decision making.
								
								
								
								
								
								
								
								
								We are not always goal seeking. Some will argue the point.
								
Useless definition, because not constructive	Useless definition, because not constructive	Useless definition, because not constructive	Useless definition, because not constructive	Useless definition, because not constructive	Useless definition, because not constructive	Useless definition, because not constructive	Useless definition, because not constructive	Optimization is (or can be...) a constructive approach to making intelligent systems
		not very useful	says nothing		pattern recognition is an important part of intelligence though I fear it is only one aspect.		reasoning + experience	seems to assume a goal is known
								
			this is not evolution theory of Darwin 	same as above				
				It seems to me this is a definition of reasoning, but there is more to intelligence than reasoning				
This definition doesn't define much things; the burden now lies on the definition of "to act purposefully, to think rationally and to deal effectively with his environment". Yet I agree with the fact that intelligence is probably compositional.	I think this definition is very good and this predictive ability is probably a big piece of the puzzle. Yet other ones could be added, like the ability to acquire (learn) the knowledge necessary to do such predictions.	Not wrong, but very vague.	Adaptation is important but it most probably does not equal intelligence.	This is a very high-level/symbolic definition which doesn't tell anything about its grounding in reality.		The definition relies on many other concepts that would now need to be defined.	Vague.	Intelligence as we see it in animals is most probably not optimal.
								
		The ability to improve these traits should also be included.						
								
		Excludes without appeal intelligence in "physical" activities, which are not purely problem solving skills, and still can involve "intelligent behavior or strategies" 			"the ability to see relationship" suffers from a homunculus problem: no portion of the brain "sees" anything, although the brain certainly can operate on relationships.			
	not comprehensive	emotions are missing	only focusses on adaptivity		not global enough, too limited		too vague	rather optimization
								
								
								
								
I like the multi-intelligence aspect here, but no mention of learning or adaptation.	Too behaviorist.	I like the breadth and situational aspect of this definition.	Again, a bit too behaviorist. 	Add learning to this.	Only one aspect of intelligence. 	Hard to operationalize, but relatively complete.	Incomplete. "Figure things out" is too vague.	This definition assumes that optimality is objective.
it covers a lot of bases, but is not really easily operationalizable.		What is considered a skill changes. Memorizing numbers (telephone?) might once have been considered the height of intelligence.					the second function would rather be 'memory'; intelligence would make use of the data in memory [as external data], but it'd be distinct from it.	
								
It includes an element of self-direction.	Thermostats again.	That's the definition of 'crystalized' intelligence.	Thermostat.	Any definition of intelligence requires some notion of internal state.	Lacks an element of self-direction.	A vague, messy concept seems to be best served by large and messy definitions. :)	Lacks an element of self-direction,	Rationality and intelligence are not the same thing.
								
								
								
								
								
		Why acquired?			Way too narrow.	This is "general intelligence". It obscures the issues to focus only on general intelligence. 	This would suggest that learning is unintelligent.	
		Appropriately vague (+) but of little use (-)	 Appropriately vague (+) but of little use (-)	Appropriately vague (+) but of little use (-)	Appropriately vague (+) but of little use (-)	Appropriately vague (+) but of little use (-)	Not vague enough	Appropriately vague (+) but of little use (-)
								
Action is a result, not a defining goal		This assumes learning is discrete and logical. It isn't	Why oh why define intelligence in terms of observed behavior?	Close agreement except that no living thing optimizes for coherency		These options are depressing. They are all from engineers. Where are the scientists?		got rationality right. Little to do with intelligence
	I think intelligence includes this, but doesn't constrict to just this definition.	Too focused on stored knowledge over the ability to learn and react		I don't know that self-governance is a critical restriction here	While I suspect this will be important for replication of human level intelligence, I think this is pre-constraining the "how it's done" to current, and perhaps incorrect, expectations of how humans think.		Too simplistic in that it lacks some of the other attributes I think are important - adaption to environment, reason about achievement of goals, etc.	
								
								
This is good as far as it goes, but it is not specific in identifying characteristics of human-level intelligence such as imagination, natural language understanding, consciousness, etc.	This is one aspect of intelligence, but it does not identify characteristics of human-level intelligence such as imagination, natural language understanding, consciousness, etc.	This is good as far as it goes, but it is not specific in identifying characteristics of human-level intelligence such as imagination, natural language understanding, consciousness, etc. Its wording also appears limited to problem solving skills. Human-level intelligence is able to improve over time, and may not be limited to what is available at any one period of time.	This is good as far as it goes, but it is not specific in identifying characteristics of human-level intelligence such as imagination, natural language understanding, consciousness, etc. This definition does not seem to emphasize the ability of human-level intelligence to change its environment, rather than simply adapt to a changing environment.	This is good as far as it goes, but it is not specific in identifying characteristics of human-level intelligence such as imagination, natural language understanding, consciousness, etc. This definition does not seem to emphasize the ability of human-level intelligence to change its environment, rather than simply respond to the needs of the environment.	This is good as far as it goes, but it is not specific in identifying characteristics of human-level intelligence such as imagination, natural language understanding, consciousness, etc. 	This is good as far as it goes, but it is not specific in identifying characteristics of human-level intelligence such as imagination, natural language understanding, consciousness, etc. 	This is good as far as it goes, but it is not specific in identifying characteristics of human-level intelligence such as imagination, natural language understanding, consciousness, etc. 	This is good as far as it goes, but it is not specific in identifying characteristics of human-level intelligence such as imagination, natural language understanding, consciousness, etc. 
								
	too limited		very limited	sort of circular definition: intelligence is intelligent behavior	too limited	pretty much complete	not false, but too limited	
								
Focuses on a single twist which is the aggregation of differentiable parts.	Focuses on reasoning and planning.	Focuses on thought and intellect only.	Vague and focuses on adaptation.	Describes wisdom more than intelligence.	Focuses on some aspects of reasoning.	More comprehensive but focuses on how to define different levels of intelligence than intelligence itself at the basic level.	Focuses on intuition and memory.	Focuses only on reasoning and problem solving.
		Circular	Vague	Too primitive  any nervous system would qualify	What is a relationship?	Circular	Vague	What is a belief?
	It would be intelligent to construct an internal representation of one’s environment, and simulate possible futures, without the need to orient this towards a specific individual's actions.							
								
Excellent: it defines intelligence behaviorally, recognizes the diverse aspects of what might be called intelligent behavior, and doesn't in any way suggest that it's a quantity or can be measured.	Far too narrow.	Not as good as definition #1, because it characterizes the "repertoire" as "problem solving skills." As I noted earlier, problem-solving implies a goal, and I don't believe that all intellectual activity has goals as generally understood.	Too vague and weak.	Wow. This person obviously knows very little about human intelligence if s/he thinks of us as being able to be organized, coherent, and responsive. That's not even optimal, as far as I'm concerned: the rational choice isn't always the correct choice.	Far too vague.	I like it when definitions of complex phenomena include the words "among other things": It's almost never the case that we can enumerate all of the components of any phenomenon, and IMO acknowledgement of ignorance is a valuable sign of intelligence. :-) It also defines intelligence in behavioral terms, without suggesting that it is in any way a quantity that is measurable and comparable.	Too simplistic.	Another answer including the verboten terms "rational" and "optimal." This author should spend a little time studying human behavior.
								
Too vague. We need metrics (for machine intelligence).	Vague but interesting because it is dense.		OK, but not enough.					
A full definition should also include limits and resources.	This assumes unreal levels of knowledge and foresight.		Yes! This accounts for provisionality and dynamism.		This is not explicit.			This definition is too self-focused.
								An organism with no goals could be intelligent. A masochistic organism that does the contrary of optimal behavior could also be intelligent. 
Sorry, my answers in this section will have to be more limited since I spent too much time on the machine learning section. But the same ideas apply here. In fact, most of these human intelligence definitions simply take "machine intelligence" and slap them onto humans. Hence the confusion. This is why most of these definitions are wrong and limited...	A necessary, but not sufficient, criterion for natural or human intelligence and hence invalid.	Same as above. The explicit mention of "problem solving skills" is a dead giveaway. Problem solving is just one limited aspect of intelligence, and one that is more applicable to machine intelligence.	"Adaptive" is good, but not very helpful in practical terms. You see the general tradeoff between truth of a definition and how useful it is.	Metacognition is but one aspect of one small portion of intelligence (rationality). It is a far cry as a general measure of human intelligence.	Somewhat applicable but not comprehensive.	This is the best definition of human intelligence so far in that it encapsulates both symbolic and pattern recognition aspects of human intelligence. Yet it also exhibits the paradoxical tradeoff in that it is a good description of the end goal, but not a good signpost as to how to get there in any way. 	Similar to #7.	Intelligence is very often not optimal.
								
								
This was a good attempt but crashes on the rocks of human fallibility. I know lots of highly intelligent, completely irrational people. How do you define them?	So my congressman lacks intelligence? Wait. Maybe I should have agreed with this one! More seriously, this is called "mental time travel" and while it is easier for those of high intelligence it is absolutely not the single, fundamental aspect of intelligence.	Intelligence is intellectual stuff? Apparently the "problem solving skill" of forming meaningful definitions has been lost.	No, no, no, no, NO! Intelligence is of the mind. Sometimes it shows in behavior and sometimes very intelligent people behave like idiots. This is another self-flattering but utterly worthless definition.	This one was at least a little bit creative. But, intelligence can take many forms. It involves consideration, but may have terrible flaws in what and how it chooses to consider. It can be organized but does not have to be. And no, it may have nothing to do with needs. It would be nice if it did but it just doesn't always work that way.	What about seeing relationships that don't exist? Can intelligence make mistakes? Besides this crappy definition I mean.	This is probably the best definition offered up so far. Too bad it's useless.	Intelligence is figuring things out. Yes. But what is the definition of figuring things out?	If intelligence is optimal behavior, then there are NO intelligent people on Earth. I think you may have missed the mark on this one.
	Interesting conjecture.  Not sure I agree.  Suppose you could only understand, but not act.		Interesting thought.  It applies to other organisms as well.	Interesting, but I'm not sure this is necessary.	Good.  Seeing relationships is similar to my position of understanding context.  There isn't always a problem.		Reasoning and retention very important elements.	
								
								
	This ties intelligence to be only interacting with the world or an environment.	This seems to encompass the intelligence with minimal vagueness. 	This ties behavior to intelligence which is not the necessarily the same.	This seems to combine intelligence and behavior from a psychological standpoint.	This is not a complete definition, but provides a potential goal of intelligence.		The ability to repeat does not make something intelligent (think DVR or VCR).	
								
		History tells of very intelligent politicians, business people, etc. that were not intellectual.		Makes rationality a requirement of intelligence when there are very intelligent people that act by intuition.	It requires consciously noticing relationships when it may not be conscious.		Hence, the longer it takes to figure something out the lesser the intelligence.	
								
This is a reasonable model of intelligence.  The adverbs are vague. 	Predictive ability perhaps is a component of intelligence. 	There's nothing about integration of these skills.	A bit vague in its adjectives.	This one is the first one that adds self-awareness or self-reflection to the picture.	Any pattern recognition program does it. 	Sure. But is self-awareness,  collaboration part of the picture. How do we recognize actions mentioned in the verbs “catching on,” “making sense” of things, or “figuring out”	pattern recognition + memory -- seems very limiting	Too vague. 
What is "rational"?	Good, but so partial and incomplete		An omniscient agent would not have to adapt	That's not intelligence, it is self-control	Good but incomplete			Where did goal fulfillment come from?!
								
Relationships to other individuals missing	Relationships to other individuals missing	Relationships to other individuals missing	Relationships to other individuals missing	Relationships to other individuals missing	Relationships to other individuals missing	Relationships to other individuals missing	Relationships to other individuals missing	Relationships to other individuals missing
	Too restrictive							
This tends to focus on a single global capability, whereas I think there can be many different dimensions of human intelligent behavior.	While being able to plan based on possible consequences is one form of intelligent behavior, the ability to respond correctly and instantaneously is also critical to survival. We know humans can move along this spectrum from explicit planning to muscle memory as the gain practice. To focus on one at the expense of the other is misleading.	This is pretty good. However, it focuses on the content of the "knowledge" rather than on intelligent behavior. I would prefer a focus on behavior. 	I like this, although it hinges on the definition of "adaptive". If this is intended in the biological sense, then I fully agree. However, if the environment is not changing, then "adaptive" might involve reducing the resources devoted to detecting and exploiting change.	This emphasizes HOW we achieve intelligent behavior rather than WHAT constitutes intelligence.	This definition also focuses on a prerequisite capability rather than on what it means to act intelligently. 	This is a mixed bag of mental capabilities and observable behaviors. Each of these could be viewed as a different kind of intelligent capability or behavior. The good aspect of this is that it explicitly acknowledges that we are applying one name to a whole bunch of stuff. However, it still insists that there is "a very general mental capability". But is there a single unified capability underlying or enabling all of these items?	Humans are capable of both of these things, but this is not a complete account of the dimensions of intelligent behavior.	This is how an individual could judge itself to be intelligent, but the definition presumes that intelligent individuals have explicit goals and beliefs. While this is a very plausible hypothesis about HOW individuals achieve successful behavior, it is not a definition of that behavior. That is why I prefer to treat the "Intentional Stance" as an analytical perspective rather than a requirement for internal implementation.
								
	I don't feel it's necessary to explicitly predict/anticipate each action's consequence in order to intelligently choose an action. I also don't feel that selecting actions is the only outward indicator of intelligence.	Knowledge should not be considered a component of intelligence.	Intelligence can exist in an agent that does not behave, cf. The Diving Bell and the Butterfly.					
naturalistic and neutral with respect to means/method	Clearly not true for most of humanity	Self-referential	This suggests "intelligence" is a judgment of qualitative goodness. Adaptation is necessary, but not sufficient.	I'm not sure self-awareness is required for intelligence, but if it is there than intelligence is also there. Self-regulation? Thermostats do that.	The implication that intelligence requires recognition and use of semantic meaning is good. Overall, necessary but insufficient.	Blather		If true, then most people are not intelligent.
A bit pedantic, but with enough wiggle room to be adequate as a definition.	Grossly insufficient as a definition.	Incomplete and a little narrow, but not wrong.	Adaptive is not sufficiently precise and by "a changing environment", you could substitute "life", in other words, this is too vague a definition.	This would seem to be more of a perspective on intelligence and what it can provide rather than a complete definition.	Ahhh, the pattern recognition aspect emphasized.  Essential, but insufficient as a definition.	This is a bit of a catch-all definition, which as explicitly stated ("among other things") does not claim to be complete, so it’s OK as far as it goes.	Inadequate and relies too much on raw memory.	Too touchy /feely for me.
								
Too broad definition. I agree with the term "aggregate"	This is a definition of "living thing", not of 'intelligent thing'	I like this definition; however, I afraid it may cover many non-intelligent behaviors of machines and animals.	Too broad definition. Adaptive behavior is a property of the life, not of the intelligence.	Interesting definition... It seems to me closer to a definition of the consciousness than of the intelligence.	Relationships, yes! Intelligent agents see relations everywhere.	Yes, it's true. But too long definition :)	Good definition. May be combined with 6. (about relationships): Intelligence is a combination of the ability to 'figure things out on the spot' by seeing relationships among these things, and the ability to retain and adapt according to the new relationships (not just repeat!) things that have been figured out in the past.	No, no, intelligence is not necessarily optimal behavior.
Too restrictive. 								
Quite a good definition but other fields (e.g. education, social science) have other definitions.	Once again the ability is one important criterion but not definitional by itself.							
These are functional definitions that qualify this or that as being correct artificial intelligence. Actually, we ignore the bounds of human intelligence and what we are able to do on our own. (Human/Artificial) Intelligence starts with self-consciousness.	I work in Automated Planning so that I'm supposed to like this definition quite a lot, but from a general point of view, this is just one facet of artificial intelligence.	This definition is meaningless ... too ambiguous 	with what purpose? I like the beginning though: "quality of behavior"	I expect neither my own intelligence nor artificial intelligence to be particularly coherent or so-well organized as this definition suggests.	Again, this is one among many different capabilities of artificial intelligence. This is the one I work on but not the only one for sure			again, only one among many different forms of intelligence. This one, in comparison with previous ones considers uncertainty but that's the only difference and that's not enough in my view to fully characterize intelligence.
I wonder what the purpose of such a complicated definition would be...	So a bug is intelligent?	Excludes non-intellectual skills/knowledge!	Again, critters out there adapt.	So without meta-reasoning we are not possibly intelligent?	Overly narrow.	Too wishy-washy to be considered a definition.	Terribly narrow.	Simon would have like that one.
		It is the capacity to acquire and implement these things towards some goal.						
	it is more than these, human intelligences has to be defined with respect to universe memory and intelligence 	skills are very important parameters for measuring different types of intelligence	good but not enough	it cannot be limited to mental self-government, it involves every cell of our body and the worlds around us 	relationship enables us to solve only similar problems, emergency and new problems are not included	very limited definition only to the mental capability, what about the bogy and other things	we have to connect intelligence to the design too, learning and memorizing are more important than repeating 	optimality is another significant parameter
								
	This is not always the case. See humans.	incomplete						
								
Wordy, misses a lot, and I disagree with the word "effectively".  Not all situations have good outcomes and "effectively" implies achieving one.	Too narrow.	I like but this is more a description than a definition.			Extremely narrow.	I like but this too (see #3) is more a description than a definition.	This ignores the notion of improvement.	This kinda excludes intelligent theorists.  ...and I's swap "response" for the word "action".  ...but I do like "optimal behavior".
seems specific to how human intelligence is constructed	narrow.  perception? action?							
								
